Short name,Rk,Team,W,L,W/L%
MIL,1,Milwaukee Bucks,60,22,0.732
GSW,2,Golden State Warriors,57,25,0.695
TOR,3,Toronto Raptors,58,24,0.707
UTA,4,Utah Jazz,50,32,0.61
HOU,5,Houston Rockets,53,29,0.646
POR,6,Portland Trail Blazers,53,29,0.646
DEN,7,Denver Nuggets,54,28,0.659
BOS,8,Boston Celtics,49,33,0.598
OKC,9,Oklahoma City Thunder,49,33,0.598
IND,10,Indiana Pacers,48,34,0.585
PHI,11,Philadelphia 76ers,51,31,0.622
SAS,12,San Antonio Spurs,48,34,0.585
LAC,13,Los Angeles Clippers,48,34,0.585
ORL,14,Orlando Magic,42,40,0.512
MIA,15,Miami Heat,39,43,0.476
BRK,16,Brooklyn Nets,42,40,0.512
DET,17,Detroit Pistons,41,41,0.5
SAC,18,Sacramento Kings,39,43,0.476
DAL,19,Dallas Mavericks,33,49,0.402
MIN,20,Minnesota Timberwolves,36,46,0.439
NOP,21,New Orleans Pelicans,33,49,0.402
LAL,22,Los Angeles Lakers,37,45,0.451
CHO,23,Charlotte Hornets,39,43,0.476
MEM,24,Memphis Grizzlies,33,49,0.402
WAS,25,Washington Wizards,32,50,0.39
ATL,26,Atlanta Hawks,29,53,0.354
CHI,27,Chicago Bulls,22,60,0.268
PHO,28,Phoenix Suns,19,63,0.232
NYK,29,New York Knicks,17,65,0.207
CLE,30,Cleveland Cavaliers,19,63,0.232
